feature,coefficient,absolute_coefficient
numeric__avg_bonus_percentage,0.16809210192430926,0.16809210192430926
numeric__experience_years,0.03708001594009273,0.03708001594009273
numeric__pass_out_year,-0.034186062457605505,0.034186062457605505
numeric__department_id,0.021204797118832934,0.021204797118832934
numeric__band_level,0.017851932094417735,0.017851932094417735
categorical__band_name_Team Lead,0.008188959920579908,0.008188959920579908
numeric__team_size,0.007798044746612885,0.007798044746612885
numeric__experience_months,0.0036814729937485334,0.0036814729937485334
numeric__avg_total_leave_balance,-0.002585888696999041,0.002585888696999041
numeric__total_sick_leave_used,0.001014460991616982,0.001014460991616982
numeric__total_leave_used,0.0009830231568937334,0.0009830231568937334
numeric__total_privileged_leave_used,0.0009582413099989988,0.0009582413099989988
numeric__attendance_rate,0.000309239068923151,0.000309239068923151
numeric__avg_working_hours,0.00030241197117269493,0.00030241197117269493
numeric__annual_salary,0.0,0.0
numeric__total_overtime_hours,0.0,0.0
categorical__job_title_Vice President - Engineering,0.0,0.0
numeric__total_lop_days,0.0,0.0
categorical__gender_Female,0.0,0.0
categorical__gender_Male,-0.0,0.0
categorical__blood_group_A+,0.0,0.0
categorical__blood_group_A-,0.0,0.0
categorical__blood_group_AB+,-0.0,0.0
categorical__blood_group_B+,-0.0,0.0
categorical__blood_group_B-,0.0,0.0
categorical__blood_group_O+,0.0,0.0
categorical__blood_group_O-,-0.0,0.0
categorical__job_title_Team Lead,0.0,0.0
categorical__marital_status_Single,0.0,0.0
categorical__highest_education_Bachelor,-0.0,0.0
categorical__highest_education_Master,0.0,0.0
categorical__specialization_BTech / BCA,0.0,0.0
categorical__specialization_BTech / MBA,-0.0,0.0
categorical__specialization_MBA - Business Administration,0.0,0.0
categorical__educational_institution_Amrita University,0.0,0.0
categorical__educational_institution_Anna University,-0.0,0.0
categorical__educational_institution_Bangalore University,-0.0,0.0
categorical__educational_institution_Christ University,0.0,0.0
categorical__educational_institution_Delhi University,0.0,0.0
categorical__educational_institution_IIM Bangalore,0.0,0.0
categorical__educational_institution_IIT Madras,-0.0,0.0
categorical__educational_institution_PES University,0.0,0.0
categorical__educational_institution_St Josephs Institute of Management,-0.0,0.0
categorical__educational_institution_VTU Belagavi,-0.0,0.0
categorical__experience_category_Junior,-0.0,0.0
categorical__experience_category_Leadership,0.0,0.0
categorical__experience_category_Mid Level,0.0,0.0
categorical__experience_category_Senior,-0.0,0.0
categorical__city_Bangalore,0.0,0.0
categorical__state_Karnataka,0.0,0.0
categorical__country_India,0.0,0.0
categorical__nationality_Indian,0.0,0.0
categorical__department_Delivery,0.0,0.0
categorical__department_Finance,-0.0,0.0
categorical__department_Governance,0.0,0.0
categorical__department_Human Resources,0.0,0.0
categorical__department_Marketing,0.0,0.0
categorical__department_Operations,0.0,0.0
categorical__department_Procurement,0.0,0.0
categorical__department_Product,0.0,0.0
categorical__department_Sales,0.0,0.0
categorical__department_Technology,-0.0,0.0
categorical__functional_department_Brand & Growth,0.0,0.0
categorical__functional_department_Corporate Finance,-0.0,0.0
categorical__functional_department_Data & AI,-0.0,0.0
categorical__functional_department_Engineering,-0.0,0.0
categorical__functional_department_Information Security,0.0,0.0
categorical__functional_department_Infrastructure & Platform,-0.0,0.0
categorical__functional_department_People Operations,0.0,0.0
categorical__functional_department_Product Management,0.0,0.0
categorical__functional_department_Program Delivery,0.0,0.0
categorical__functional_department_Quality Engineering,-0.0,0.0
categorical__functional_department_Revenue Operations,0.0,0.0
categorical__functional_department_Risk & Compliance,0.0,0.0
categorical__functional_department_Transport & Logistics,0.0,0.0
categorical__functional_department_Vendor Management,0.0,0.0
categorical__business_unit_Analytics Platforms,-0.0,0.0
categorical__business_unit_Cloud & Platform Operations,-0.0,0.0
categorical__business_unit_Cyber Security Operations,0.0,0.0
categorical__business_unit_Enterprise Governance,0.0,0.0
categorical__business_unit_Enterprise Systems,-0.0,0.0
categorical__business_unit_Financial Operations,-0.0,0.0
categorical__business_unit_Marketing Operations,0.0,0.0
categorical__business_unit_Procurement Operations,0.0,0.0
categorical__business_unit_Product Strategy,0.0,0.0
categorical__business_unit_Project Management,0.0,0.0
categorical__business_unit_Sales Operations,0.0,0.0
categorical__business_unit_Supply Chain Operations,0.0,0.0
categorical__business_unit_Testing Services,-0.0,0.0
categorical__business_unit_Workforce Management,0.0,0.0
categorical__division_Business Growth,0.0,0.0
categorical__division_Compliance,0.0,0.0
categorical__division_Data Intelligence,-0.0,0.0
categorical__division_Delivery Operations,0.0,0.0
categorical__division_Digital Marketing,0.0,0.0
categorical__division_Enterprise Infrastructure,-0.0,0.0
categorical__division_Finance,-0.0,0.0
categorical__division_HR Operations,0.0,0.0
categorical__division_Logistics,0.0,0.0
categorical__division_Product Delivery,0.0,0.0
categorical__division_QA Delivery,-0.0,0.0
categorical__division_Security Governance,0.0,0.0
categorical__division_Software Delivery,-0.0,0.0
categorical__division_Sourcing,0.0,0.0
categorical__sub_division_AI & Analytics,-0.0,0.0
categorical__sub_division_Application Development,-0.0,0.0
categorical__sub_division_Campaign Operations,0.0,0.0
categorical__sub_division_Client Acquisition,0.0,0.0
categorical__sub_division_Finance Operations,-0.0,0.0
categorical__sub_division_PMO,0.0,0.0
categorical__sub_division_People Services,0.0,0.0
categorical__sub_division_Platform Services,-0.0,0.0
categorical__sub_division_Product Operations,0.0,0.0
categorical__sub_division_Risk Operations,0.0,0.0
categorical__sub_division_Security Operations,0.0,0.0
categorical__sub_division_Supplier Operations,0.0,0.0
categorical__sub_division_Test Automation,-0.0,0.0
categorical__sub_division_Transport Operations,0.0,0.0
categorical__team_name_Data Team,-0.0,0.0
categorical__team_name_Delivery Team,0.0,0.0
categorical__team_name_Engineering Team,-0.0,0.0
categorical__team_name_Finance Team,-0.0,0.0
categorical__team_name_Governance Team,0.0,0.0
categorical__team_name_HR Team,0.0,0.0
categorical__team_name_Infrastructure Team,-0.0,0.0
categorical__team_name_Logistics Team,0.0,0.0
categorical__team_name_Marketing Team,0.0,0.0
categorical__team_name_Procurement Team,0.0,0.0
categorical__team_name_Product Team,0.0,0.0
categorical__team_name_QA Team,-0.0,0.0
categorical__team_name_Sales Team,0.0,0.0
categorical__team_name_Security Team,0.0,0.0
categorical__band_name_AVP,0.0,0.0
categorical__band_name_Associate,-0.0,0.0
categorical__band_name_Associate Director,-0.0,0.0
categorical__band_name_Director,-0.0,0.0
categorical__band_name_Junior Associate,-0.0,0.0
categorical__band_name_Manager,0.0,0.0
categorical__band_name_President,0.0,0.0
categorical__band_name_Senior Associate,0.0,0.0
categorical__band_name_Senior Director,-0.0,0.0
categorical__band_name_Senior Manager,0.0,0.0
categorical__band_name_Senior VP,-0.0,0.0
categorical__band_name_VP,0.0,0.0
categorical__job_title_AI/ML Engineer,0.0,0.0
categorical__job_title_AI/ML Manager,0.0,0.0
categorical__job_title_API Developer,0.0,0.0
categorical__job_title_API Lead,-0.0,0.0
categorical__job_title_Accountant,-0.0,0.0
categorical__job_title_Application Lead,0.0,0.0
categorical__job_title_Application Manager,-0.0,0.0
categorical__job_title_Application Security Engineer,-0.0,0.0
categorical__job_title_Application Security Lead,0.0,0.0
categorical__job_title_Application Security Manager,0.0,0.0
categorical__job_title_Application Support Engineer,-0.0,0.0
categorical__job_title_Architecture Lead,0.0,0.0
categorical__job_title_Associate Director - Data & AI,-0.0,0.0
categorical__job_title_Associate Director - Delivery,-0.0,0.0
categorical__job_title_Associate Director - Enterprise Solutions,0.0,0.0
categorical__job_title_Associate Director - Human Resources,0.0,0.0
categorical__job_title_Associate Director - Innovation,-0.0,0.0
categorical__job_title_Associate Director - Marketing,-0.0,0.0
categorical__job_title_Associate Director - Operations,-0.0,0.0
categorical__job_title_Associate Director - Product,0.0,0.0
categorical__job_title_Associate Director - Strategy,0.0,0.0
categorical__job_title_Associate Director - Technology,-0.0,0.0
categorical__job_title_Associate Vice President - Customer Success,0.0,0.0
categorical__job_title_Associate Vice President - Data & AI,0.0,0.0
categorical__job_title_Associate Vice President - Delivery,-0.0,0.0
categorical__job_title_Associate Vice President - Engineering,0.0,0.0
categorical__job_title_Associate Vice President - Enterprise Solutions,0.0,0.0
categorical__job_title_Associate Vice President - Finance,0.0,0.0
categorical__job_title_Associate Vice President - Human Resources,0.0,0.0
categorical__job_title_Associate Vice President - Innovation,0.0,0.0
categorical__job_title_Associate Vice President - Marketing,0.0,0.0
categorical__job_title_Associate Vice President - Operations,-0.0,0.0
categorical__job_title_Associate Vice President - Product,-0.0,0.0
categorical__job_title_Associate Vice President - Sales,-0.0,0.0
categorical__job_title_Associate Vice President - Strategy,-0.0,0.0
categorical__job_title_Associate Vice President - Technology,-0.0,0.0
categorical__job_title_Automation Testing Lead,-0.0,0.0
categorical__job_title_BI Developer,-0.0,0.0
categorical__job_title_BI Lead,0.0,0.0
categorical__job_title_BI Manager,0.0,0.0
categorical__job_title_Backend Engineer,0.0,0.0
categorical__job_title_Backend Lead,0.0,0.0
categorical__job_title_Backup & Recovery Manager,0.0,0.0
categorical__job_title_Brand Manager,-0.0,0.0
categorical__job_title_Business Development Lead,0.0,0.0
categorical__job_title_Campaign Manager,-0.0,0.0
categorical__job_title_Change Management Lead,-0.0,0.0
categorical__job_title_Client Relationship Executive,-0.0,0.0
categorical__job_title_Client Relationship Manager,-0.0,0.0
categorical__job_title_Cloud Engineer,-0.0,0.0
categorical__job_title_Cloud Operations Lead,0.0,0.0
categorical__job_title_Cloud Operations Manager,0.0,0.0
categorical__job_title_Cloud Security Engineer,-0.0,0.0
categorical__job_title_Cloud Security Lead,0.0,0.0
categorical__job_title_Cloud Security Manager,0.0,0.0
categorical__job_title_Cold Chain Operations Manager,-0.0,0.0
categorical__job_title_Compliance Analyst,-0.0,0.0
categorical__job_title_Compliance Manager,-0.0,0.0
categorical__job_title_Customer Success Lead,0.0,0.0
categorical__job_title_Customer Success Manager,-0.0,0.0
categorical__job_title_Cyber Security Analyst,-0.0,0.0
categorical__job_title_Cyber Security Lead,-0.0,0.0
categorical__job_title_Cyber Security Manager,0.0,0.0
categorical__job_title_Data Analyst,-0.0,0.0
categorical__job_title_Data Analytics Lead,0.0,0.0
categorical__job_title_Data Analytics Manager,-0.0,0.0
categorical__job_title_Data Engineer,-0.0,0.0
categorical__job_title_Data Engineering Lead,0.0,0.0
categorical__job_title_Database Administration Lead,0.0,0.0
categorical__job_title_Database Administration Manager,0.0,0.0
categorical__job_title_Database Administrator,-0.0,0.0
categorical__job_title_Database Lead,0.0,0.0
categorical__job_title_Delivery Lead,0.0,0.0
categorical__job_title_Delivery Operations Lead,-0.0,0.0
categorical__job_title_Delivery Operations Manager,0.0,0.0
categorical__job_title_DevOps Lead,-0.0,0.0
categorical__job_title_DevOps Manager,0.0,0.0
categorical__job_title_Digital Marketing Lead,0.0,0.0
categorical__job_title_Digital Marketing Manager,0.0,0.0
categorical__job_title_Digital Marketing Specialist,-0.0,0.0
categorical__job_title_Director - Data & AI,-0.0,0.0
categorical__job_title_Director - Enterprise Solutions,-0.0,0.0
categorical__job_title_Director - Marketing,-0.0,0.0
categorical__job_title_Director - Operations,-0.0,0.0
categorical__job_title_Director - Technology,-0.0,0.0
categorical__job_title_Dispatch Lead,0.0,0.0
categorical__job_title_Dispatch Manager,0.0,0.0
categorical__job_title_Distribution Manager,-0.0,0.0
categorical__job_title_Driver Operations Manager,-0.0,0.0
categorical__job_title_Endpoint Management Manager,-0.0,0.0
categorical__job_title_Engineering Lead,-0.0,0.0
categorical__job_title_Engineering Manager,-0.0,0.0
categorical__job_title_Enterprise Applications Manager,0.0,0.0
categorical__job_title_Export Operations Manager,0.0,0.0
categorical__job_title_Finance Executive,-0.0,0.0
categorical__job_title_Finance Lead,0.0,0.0
categorical__job_title_Finance Manager,-0.0,0.0
categorical__job_title_Fleet Coordinator,0.0,0.0
categorical__job_title_Fleet Manager,0.0,0.0
categorical__job_title_Fleet Operations Lead,0.0,0.0
categorical__job_title_Freight Operations Lead,-0.0,0.0
categorical__job_title_Freight Operations Manager,-0.0,0.0
categorical__job_title_Frontend Engineer,-0.0,0.0
categorical__job_title_Full Stack Engineer,-0.0,0.0
categorical__job_title_Full Stack Lead,-0.0,0.0
categorical__job_title_Functional Consultant,-0.0,0.0
categorical__job_title_Functional Lead,-0.0,0.0
categorical__job_title_GRC Analyst,-0.0,0.0
categorical__job_title_GRC Lead,-0.0,0.0
categorical__job_title_GenAI Lead,0.0,0.0
categorical__job_title_Governance Risk & Compliance (GRC) Manager,0.0,0.0
categorical__job_title_HR Executive,-0.0,0.0
categorical__job_title_HR Lead,-0.0,0.0
categorical__job_title_HR Manager,-0.0,0.0
categorical__job_title_IAM Analyst,-0.0,0.0
categorical__job_title_IAM Lead,0.0,0.0
categorical__job_title_IT Support Engineer,0.0,0.0
categorical__job_title_IT Support Lead,-0.0,0.0
categorical__job_title_Identity & Access Management Manager,0.0,0.0
categorical__job_title_Import Operations Manager,-0.0,0.0
categorical__job_title_Information Security Analyst,-0.0,0.0
categorical__job_title_Information Security Manager,-0.0,0.0
categorical__job_title_Infrastructure Engineer,0.0,0.0
categorical__job_title_Infrastructure Lead,0.0,0.0
categorical__job_title_Infrastructure Manager,0.0,0.0
